(tree,root) pairs of Q4 by direction-0 vertical support S (base = Q3):
conjecture: count(S) = 2^|S| * F_base(S) * 3072   [F = S-rooted forests of base]
 |S|      S (base mask)          count  F_base(S)     match?
   4  0b101010000010000        2703360         55        YES
   4  0b101010001000000        2654208         54        YES
   4  0b101010100000000        2211840         45        YES
   5        0b101010101        2064384         21        YES
   5      0b10001010101        2064384         21        YES
   5      0b10100010101        2064384         21        YES
   5      0b10101000101        2064384         21        YES
   5      0b10101010001        2359296         24        YES
   5      0b10101010100        2359296         24        YES
   5    0b1000001010101        2064384         21        YES
   5    0b1000100010101        2064384         21        YES
   5    0b1000101000101        2359296         24        YES
   5    0b1000101010001        2064384         21        YES
   5    0b1000101010100        2359296         24        YES
   5    0b1010000010101        2359296         24        YES
   5    0b1010001000101        2654208         27        YES
   5    0b1010001010001        2654208         27        YES
   5    0b1010001010100        2359296         24        YES
   5    0b1010100000101        2064384         21        YES
   5    0b1010100010001        2064384         21        YES
   5    0b1010100010100        2359296         24        YES
   5    0b1010101000001        2654208         27        YES
   5    0b1010101000100        2359296         24        YES
   5    0b1010101010000        2359296         24        YES
   5  0b100000001010101        2064384         21        YES
   5  0b100000100010101        2654208         27        YES
   5  0b100000101000101        2359296         24        YES
   5  0b100000101010001        2359296         24        YES
   5  0b100000101010100        2654208         27        YES
   5  0b100010000010101        2359296         24        YES
   5  0b100010001000101        2064384         21        YES
   5  0b100010001010001        2359296         24        YES
   5  0b100010001010100        2064384         21        YES
   5  0b100010100000101        2064384         21        YES
   5  0b100010100010001        2359296         24        YES
   5  0b100010100010100        2654208         27        YES
   5  0b100010101000001        2359296         24        YES
   5  0b100010101000100        2064384         21        YES
   5  0b100010101010000        2359296         24        YES
   5  0b101000000010101        2359296         24        YES
   5  0b101000001000101        2359296         24        YES
   5  0b101000001010001        2064384         21        YES
   5  0b101000001010100        2064384         21        YES
   5  0b101000100000101        2359296         24        YES
   5  0b101000100010001        2064384         21        YES
   5  0b101000100010100        2654208         27        YES
   5  0b101000101000001        2359296         24        YES
   5  0b101000101000100        2359296         24        YES
   5  0b101000101010000        2064384         21        YES
   5  0b101010000000101        2359296         24        YES
   5  0b101010000010001        2359296         24        YES
   5  0b101010000010100        2359296         24        YES
   5  0b101010001000001        2654208         27        YES
   5  0b101010001000100        2064384         21        YES
   5  0b101010001010000        2064384         21        YES
   5  0b101010100000001        2064384         21        YES
   5  0b101010100000100        2064384         21        YES
   5  0b101010100010000        2064384         21        YES
   5  0b101010101000000        2064384         21        YES
   6      0b10101010101        1572864          8        YES
   6    0b1000101010101        1572864          8        YES
   6    0b1010001010101        1769472          9        YES
   6    0b1010100010101        1572864          8        YES
   6    0b1010101000101        1769472          9        YES
   6    0b1010101010001        1769472          9        YES
   6    0b1010101010100        1769472          9        YES
   6  0b100000101010101        1769472          9        YES
   6  0b100010001010101        1572864          8        YES
   6  0b100010100010101        1769472          9        YES
   6  0b100010101000101        1572864          8        YES
   6  0b100010101010001        1769472          9        YES
   6  0b100010101010100        1769472          9        YES
   6  0b101000001010101        1572864          8        YES
   6  0b101000100010101        1769472          9        YES
   6  0b101000101000101        1769472          9        YES
   6  0b101000101010001        1572864          8        YES
   6  0b101000101010100        1769472          9        YES
   6  0b101010000010101        1769472          9        YES
   6  0b101010001000101        1769472          9        YES
   6  0b101010001010001        1769472          9        YES
   6  0b101010001010100        1572864          8        YES
   6  0b101010100000101        1572864          8        YES
   6  0b101010100010001        1572864          8        YES
   6  0b101010100010100        1769472          9        YES
   6  0b101010101000001        1769472          9        YES
   6  0b101010101000100        1572864          8        YES
   6  0b101010101010000        1572864          8        YES
   7    0b1010101010101        1179648          3        YES
   7  0b100010101010101        1179648          3        YES
   7  0b101000101010101        1179648          3        YES
   7  0b101010001010101        1179648          3        YES
   7  0b101010100010101        1179648          3        YES
   7  0b101010101000101        1179648          3        YES
   7  0b101010101010001        1179648          3        YES
   7  0b101010101010100        1179648          3        YES
